,class_names,fractal_dimension
324,coat hanger,1.7761210758320025
325,coatrack,1.7142607614822443
326,dish rack,1.740714249334971
327,drawer,1.8466225533420941
328,minibar,1.7449021251499488
329,toastrack,1.2371949505879476
330,towel rack,1.7442104561554093
331,wardrobe,1.6946556518594817
332,nightstand,1.7654421335200494
333,File cabinets,1.5852993016815848
334,files rack,1.7451726752194872
335,Lifting drying rack,1.5277070173359129
336,paper shelf,1.630721953473429
337,Shoebox,1.681943982790613
338,TV cabinet,1.7357320430494552
339,wine cabinet,1.6933819457723622
340,tea cabinet,1.5962354643053807
341,filing cabinet,1.3835684388349492
342,medicine cabinet,1.5209090125897726
343,beaker,1.839627392537061
344,compass (drawing tool),1.5849625007243027
345,detector,1.5079422220546315
346,divider,1.5849625007243027
347,measuring instrument,1.7226474260777476
348,plumb bob,1.4627556017522867
349,protractor,1.7117113626359826
350,straightedge,1.6355803747499733
351,vernier scale,1.7104273318277476
352,Triangular ruler,1.4890433184903122
353,height tester,1.5758132958319802
354,body weight tester,1.537262018787081
355,Spirometry,1.4568046205137664
356,Sebum forceps,1.601232592100431
357,tape measure,1.624660427349224
358,level gauge,1.533648199349051
359,total station,1.321333300553611
360,multimeter,1.1376804043724875
361,oscilloscope,1.1565058019750105
362,Signal generator,1.1887550592219607
363,Transistor Characteristic Tracer,1.2449115213327444
364,megger,1.5079422220546315
365,Infrared Thermometer,1.5085189785041102
366,Spectrum Analyzer,1.336113677419452
367,lcr parameter tester,1.313528105852746
368,IC Tester,1.4350582681425594
369,Tablet,1.4350582681425594
370,Speedometer,1.52109282401167
371,armchair,1.842744847024775
372,chair,1.9610274055818349
373,conference table,1.7012131049905967
374,desk,1.7356686917678157
375,dinner table,1.741016285916755
376,dressing table,1.7249965039564916
377,drop-leaf table,1.600227963324726
378,folding chair,1.810545925548532
379,gateleg table,1.759041650851225
380,highchair,1.4359246440480793
381,lectern,1.5646531587882109
382,pedestal table,1.7901921024940681
383,rocking chair,1.6436682435456003
384,couch,1.7954798409370503
385,wheelchair,1.69802317584061
386,chess table,1.7387647084490858
387,deckchair,1.8016186688110831
388,joëlette,1.321333300553611
389,bean bag chair,1.6451664855824097
390,massage chair,1.6558403341561423
391,Computer Desk,1.5047135002975502
392,school desks,1.7977010514243448
393,one-legged table,1.7664297521542895
394,tripod table,1.5915162987939266
395,four legged table,1.7862409011606946
396,round table,1.7773962357596873
397,square table,1.7968931368288557
398,bathroom sink,1.7671628605502574
399,toilet roll holder,1.636650207637555
400,irrigation sprinkler,1.3169398018301197
401,bathtub,1.5156672885037425
402,bedpan,1.6841109315560527
403,broom,1.7057798342478747
404,dumpster,1.6746179726941126
405,dustpan,1.68451522976433
406,faucet,1.801721111799757
407,flush toilet,1.7101113316269128
408,garbage,1.8197034854813483
409,kitchen sink,1.8230245093926423
410,nozzle,1.4420904112212583
411,potty seat,1.5570980760701993
412,showerhead,1.69892487995927
413,sink,1.7592306891277478
414,moppingfloor,1.7132379842125496
415,tub,1.4646274655729115
416,urinal,1.5472310096908795
417,water faucet,1.8133575053254343
418,squat toilet,1.5348386049256104
419,pressure washer,1.529132443641443
420,shower,1.707329124550184
421,duster,1.5690095496221028
422,stainless steel trash can,1.7832266291980883
423,Ordinary floor drain,1.615466651596658
424,Floor drain for washing machine,1.6859553931414832
425,shower head,1.5893997554953545
426,soap dish holder,1.5088191905304926
427,soap dish,1.625979908910046
428,single cup holder,1.6529195741654723
429,double cup holder,1.107682040664745
430,toilet brush holder,1.5893997554953545
431,toilet brush,1.5524782906085268
432,board eraser,1.5849625007243027
433,abacus,1.6822098604240345
434,chalk,1.775061087061039
435,fountain pen,1.7665350922991614
436,marker,1.6725566244024765
437,pencil,1.836609310690048
438,pencil sharpener,1.6822796170978378
439,quill,1.5893997554953545
440,rubber eraser,1.766473390867504
441,tap,1.7472876512444522
442,rollerball pen,1.8093547589712868
443,inkstone,1.4420904112212583
444,Portfolio,1.364234540601036
445,file set,1.4648720438248015
446,business card case,1.8328230298929122
447,zipper bag,1.4595734976453463
448,file basket,1.6402154374984106
449,book stand,1.5990324048155748
450,stapler,1.6976596668437915
451,Staple,1.39957158971001
452,Pencil sharpener,1.7193951179568723
453,glue stick,1.694824081100549
454,glue,1.7041490691724372
455,tape holder,1.679363727415024
456,pen holder,1.7016115634406115
457,pencil case,1.6026391324417815
458,calendar holder,1.321333300553611
459,ballpoint pen,1.7151930004041256
460,desk pen,1.4744196381382673
461,watercolor pen,1.7164229521048584
462,correction fluid,1.720602229211214
463,correction tape,1.6500047020950612
464,writing brush,1.7595485580842691
465,raw tape,1.6236647894487501
466,Scotch tape,1.7435921389494904
467,Insulation Tape,1.5581016632428022
468,folder,1.6005510722634695
469,folding napkins,1.8327447512841353
470,bath mat,1.7158785528284093
471,bath towel,1.7840285410580878
472,beach towel,1.7621797042061451
473,beer mat,1.7996615225254646
474,cleaning pad,1.0220870345620832
475,cobweb,1.3132523242372738
476,diaper,1.703527390358327
477,dishcloth,1.8304476100736928
478,doily,1.7431100930721013
479,drop cloth,1.7414553814845923
480,dustcloth,1.7104273318277476
481,dust cover,1.7241414253959888
482,embroidery,1.6357079598586814
483,floor cover,1.663633509900665
484,groundsheet,1.750157030841054
485,handkerchief,1.716925584138491
486,mosquito net,1.5743141488027643
487,mousepad,1.6142177863726759
488,paper towel,1.7822872705072426
489,place mat,1.7290161312296066
490,potholder,1.7064614187901532
491,rag,1.611485207186294
492,scouring pad,1.5693168389511576
493,skein,1.8066503323145637
494,soap pad,1.0
495,tapestry,1.7186584893024641
496,tarpaulin,1.8211532698527497
497,towel,1.8625537266930898
498,webbing,1.7773384636540042
499,blanket,1.7955951057581163
500,mylar,1.6958178499434426
501,leather,1.799402399066321
502,silk,1.6963231248530108
503,wool,1.7123749811584057
504,window covering,1.7222030422417514
505,window valance,1.6737882104885844
506,water well,1.5079422220546315
507,artesian well,1.3413439854019498
508,curtain,1.7000923905968426
509,entrance,1.8119126675944726
510,doorframe,1.8020413003021936
511,doorknob,1.8090720376026788
512,dormer,1.730621200076184
513,french door,1.7686088314416404
514,gusher,1.4778941828378533
515,knocker,1.5614341240379257
516,louver,1.7563818468423764
517,lychgate,1.0569912497549725
518,mail slot,1.2997823166360312
519,manhole cover,1.644703111856168
520,oeil de boeuf,1.796682179594073
521,portcullis,1.6923630668019467
522,porthole,1.6693257498525182
523,pump well,1.0
524,rear-view mirror,1.7256506976987276
525,revolving door,1.6562684766907383
526,sliding door,1.714345736132983
527,starting gate,1.4498912746077004
528,triumphal arch,1.7030131836867262
529,well,1.321333300553611
530,window frame,1.787150670804392
531,window,1.9630124621483878
532,stained glass,1.8471269346128123
533,Exterior door lock,1.7237761954147757
534,handle lock,1.611485207186294
535,Ball lock,1.615466651596658
536,electronic door lock,1.313528105852746
537,san pedro cactus,1.7715478056035396
538,large-flowered cactus,1.2449115213327444
539,ferocactus cylindraceus,1.6983009272442489
540,cylindropuntia bigelovii,1.75586816872613
541,mammillaria dioica,1.4614582352534982
542,opuntia ficus-indica,1.7625084346290443
543,hamatocactus hamatacanthus,1.680019115570643
544,echinocereus pectinatus,1.7472072897882431
545,opuntia cochenillifera,1.7121591508629057
546,mammillaria grahamii,1.7652371865381145
547,opuntia decumbens,1.739635020297162
548,echinocactus horizonthalonius,1.7279820084856117
549,mammillaria heyderi,1.6259672267106862
550,echinocereus santaritensis,1.7333941280858662
551,juniperus occidentalis,1.107682040664745
552,echinocereus chloranthus,1.6705396490727726
553,larix occidentalis,1.6706719855624284
554,cedar of lebanon,1.5225862546391316
555,carnegiea gigantea,1.8132618123300857
556,echinocactus,1.833349324713258
557,golden barrel cactus,1.8208837948024768
558,rainbow cactus,1.282226357509019
559,barrel cactus,1.774417543367396
560,chichipe,1.4614020121223632
561,mammillaria,1.7127734635310814
562,nopal,1.6477770101777525
563,bamboo,1.2371949505879476
564,adansonia digitata,1.107682040664745
565,ceiba pentandra,1.5225862546391316
566,queensland bottletree,1.4568046205137664
567,japanese beech,1.0
568,oak,1.0000000000031464
569,quercus garryana,1.4778941828378533
570,mallee,1.0000000000031464
571,forest red gum,1.107682040664745
572,divi-divi,1.5849625007243027
573,caranday,1.529132443641443
574,tree,1.806205014178012
575,leafless tree,1.6706719855624284
576,basketball moves,1.6883326425731735
577,bowling pin,1.612691017932908
578,cricketshot,1.625979908910046
579,croquet ball,1.672446887684385
580,field hockey ball,1.5849625007243027
581,golf ball,1.4548110799385352
582,handball,1.6658563391301509
583,lacrosse ball,1.7624494265253057
584,ping-pong ball,1.6818953373215155
585,rugby ball,1.6822098604240345
586,shot,1.6729744092589334
587,shuttlecock,1.0000000000031464
588,soccer,1.773463360225294
589,tennis ball,1.7888137248300275
590,volleyball,1.758449181029592
591,floorball,1.6987600800771316
592,pesäpallo,1.809941878043208
593,baseball,1.764520149134106
594,pingpong,1.6748745601380928
595,badminton,1.7284517529216596
596,tennis,1.824853380879779
597,bowling,1.6567973244909373
598,puck,1.0629899570957677
599,bandy ball,1.0
600,billiards,1.7032616299619752
601,softball,1.6010637918005666
602,hockey,1.2755668618272282
603,lacrosse,1.7624494265253057
604,cricket,1.5225862546391316
605,rugby,1.7325872615627624
606,water polo,1.7104273318277476
607,wooden ball,1.5950439245489125
608,basketball,1.745111078113526
609,American football,1.5348386049256104
610,golf,1.6474728066981252
611,pickle ball,1.6529195741654723
612,match ball,1.5722304255525352
613,lawn bowls,1.5747648327437243
614,racquetball,1.0
615,sepak takraw,1.7771991704560117
616,croquet,1.5844449360068205
617,dodge ball,1.8157386029877522
618,facial cleanser,1.7006093130242286
619,baby powder,1.313528105852746
620,bar soap,1.6889746035212072
621,bottlebrush,1.0
622,comb,1.6980131250730492
623,condom,1.7918352450796602
624,cream,1.5511784480987543
625,curler,1.478252486097122
626,curling iron,1.5940601157397016
627,electric toothbrush,1.5913993252584209
628,eyebrow pencil,1.4350582681425594
629,face powder,1.8411651858857505
630,hairbrush,1.4951852389716822
631,hand cream,1.3655047276859649
632,laundry detergent,1.8337307345622702
633,lip balm,1.6600295654309885
634,lotion,1.8159183626949527
635,nail polish,1.784242222471882
636,Eyebrow pencils,1.4704763799439107
637,perfume,1.8057980514820615
638,razor,1.6551628277179324
639,sanitary napkin,1.7978920771783553
640,shaver,1.3413439854019498
641,shaving brush,1.8528715934936932
642,soap,1.7737923393105663
643,toothbrush,1.76773922409434
644,toothpaste,1.7233019470429851
645,toothpick,1.6643469288282176
646,nail clipper,1.4568046205137664
647,interdental brush,1.6016085704044305
648,cosmetic container,1.7504863112070517
649,electric clippers,1.8169450157965823
650,electric curling iron,1.7300656462437436
651,Electric shaver,1.196028734808995
652,manual shaver,1.5887512665047299
653,facial cleansing brushe,1.4242926368178779
654,facial steamer,1.5348386049256104
655,Flosser,1.4838414740003465
656,ear cleaner,1.615466651596658
657,baked oil cap,1.6529195741654723
658,Facial mask,1.1296094108012569
659,spray,1.4627556017522867
660,Oil-absorbing paper,1.5709030409277682
661,makeup remover,1.4568046205137664
662,lipstick,1.678832542210057
663,Beauty egg,1.8101460099120863
664,Epilator,1.6817602779123684
665,Foot Patch,1.6580712815411947
666,water castle,1.5250551244482575
667,portable toilet,1.7176391698129623
668,lighthouse,1.6569481110178415
669,bell tent,1.7227014340445697
670,cabana,1.7559315772922457
671,campanile,1.4601567625075398
672,cenotaph,1.4359566861551207
673,cottage tent,1.7200948248048233
674,covered bridge,1.480553363855869
675,field tent,1.7333595549018606
676,hayloft,1.5093346077601741
677,house,1.8640096884838473
678,igloo,1.5849625007243027
679,lake dwelling,1.7484251742257122
680,mountain tent,1.7840110478360214
681,newsstand,1.4700560436500147
682,nissen hut,1.5085189785041102
683,obelisk,1.2371949505879476
684,outhouse,1.7249965039564916
685,pillbox,1.6297381832148106
686,pyramidal tent,1.575934588614538
687,ranch house,1.7622899155281833
688,sentry box,1.6883351749416908
689,sod house,1.682448361332757
690,spire,1.7027478052564793
691,phone booth,1.480553363855869
692,tepee,1.290700265737854
693,tollbooth,1.628856685391078
694,umbrella tent,1.778052713508127
695,wall tent,1.7308075393758853
696,yurt,1.4568046205137664
697,palace,1.660909101250033
698,church,1.537265412692737
699,stone cabin,1.7007165863408025
700,naveta,1.4568046205137664
701,qubba,1.6090648124442337
702,round barn,1.6311392591217873
703,tobacco barn,1.5085189785041102
704,liberty monument,1.52109282401167
705,partytent,1.73062367793494
706,barracas de piedra,1.6559253647986774
707,tukul,1.624097720046823
708,gebakkraam,1.3766077439134334
709,würstelstand,1.2853337016328215
710,memorial gates and arches,1.4595935649809613
711,shieling hut,1.3413439854019498
712,icelandic turf house,1.480553363855869
713,wine glass,1.8125967718444955
714,stemware,1.853419149250629
715,outdoor grill,1.4987966623025597
716,contact grill,1.6199239750624717
717,food steamer,1.7944407082526284
718,baby bottle,1.697313491993256
719,bowl,1.8595501418835216
720,cutting board,1.6455216191546
721,chopsticks,1.8203864725247236
722,dishware,1.8603800290589079
723,cup,1.8715106338523455
724,dish,1.9194008555665396
725,epergne,1.7069582730712012
726,fork,1.8613445929991526
727,glass,1.8686099141867871
728,gravy boat,1.8343250742823005
729,griddle,1.6561472255286485
730,kettle,1.7965475585706965
731,combine with bowl,1.7702238114577395
732,mug,1.8711586076678457
733,pan,1.7710459475229154
734,paper plate,1.8490571321940543
735,home plate,1.850658547488115
736,poacher,1.636650207637555
737,porringer,1.806001380049398
738,pressure cooker,1.7742541254484003
739,punch bowl,1.7574321142992302
740,runcible spoon,1.0
741,saucepan,1.8076199777603161
742,soup bowl,1.8004276519309248
743,spoon,1.8713821415495695
744,spork,1.7513065075795264
745,straw,1.841214394294007
746,tableware,1.8374885820787419
747,tea ball,1.5511784480987543
748,tea maker,1.7847780441595196
749,tea pot,1.8229809724962815
750,wok,1.665724134247436
751,wooden spoon,1.8126834103870018
752,jug,1.8261742658501112
753,gaiwan,1.8641955571810604
754,bogrács,1.7455443936325765
755,honey dipper,1.6010637918005666
756,dolsot,1.3978689723708553
757,bamboo steamer,1.770621494671276
758,glass goblet,1.85309425592011
759,sheet pan,1.799645472775597
760,sippy cup,1.7876875875318663
761,springform pan,1.1376804043724875
762,decoction device,1.2371949505879476
763,ax,1.6401431216197573
764,ax handle,1.5849625007243027
765,bucksaw,1.1376804043724875
766,cheese cutter,1.107682040664745
767,crosscut saw,1.455555566358959
768,hedge trimmer,1.6146977472381314
769,knife,1.8137235947882115
770,paper cutter,1.2997823166360312
771,peeler,1.8147801645206583
772,proverb,1.6175406515741741
773,scissors,1.7947278728797014
774,scythe,1.4938373060188457
775,secateurs,1.5954934118220234
776,sheath,1.6729744092589334
777,sickle,1.4568046205137664
778,snips,1.5079422220546315
779,sword,1.756121049504284
780,table knife,1.8309297656839718
781,thinning shears,1.4261645129383007
782,throwing knife,1.7624494265253057
783,splitting maul,1.321333300553611
784,pizza cutter,1.6529195741654723
785,karambit,1.4940185189935695
786,abrasive saw,1.4778941828378533
787,shinai,1.7069386794664327
788,ring knife,1.3347843526886944
789,dagger,1.6989664657690204
790,Butterfly Sword,1.1960245440885513
791,Jiuhuan Dao,1.321333300553611
792,Machete,1.529132443641443
793,saber,1.0461727606205904
794,Pak Knife,1.0569912497549725
795,Tai Chi Knife,1.3169398018301197
796,child and mother knife,1.4174192967062678
797,Yuntou knife,1.3344686128156376
798,Seedling knife,1.346330843154546
799,kitchen knife,1.816859867407632
800,Spike knife,1.1376804043724875
801,Handguard Wolf's Fang Knife,1.0
802,Hook Knife,1.6714090772976016
803,Seven-Star Sword,1.5156672885037425
804,Meridian Zodiac Mandarin Duck Battle Axes,1.4138474742589364
805,Wooden Sword,1.3715411984776957
806,Hooked weapons,1.660162607139364
807,Arts and Crafts Knife,1.4934293014018567
808,Paper cutter,1.107682040664745
809,Sword,1.6229015558710327
810,Dagger,1.7424600800383452
811,Swiss army knife,1.0
812,Nepalese curved knife,1.291949791304389
813,American M9 Bayonet,1.3413439854019498
814,Butterfly Knife,1.5849625007243027
815,payment card,1.7958766955949659
816,academic certificate,1.720444233951887
817,blackboard/whiteboard,1.8178918239527269
818,bookmark,1.8049126631653771
819,clipboard,1.7897029983205033
820,doorplate,1.8243524078760978
821,drumhead,1.7817429039792234
822,envelope,1.6913226601985385
823,vehicle registration plate,1.7544095468518441
824,newspaper,1.8317132003302594
825,palette,1.7767231489628623
826,playing card,1.5882323249998969
827,swatter,1.5225862546391316
828,washboard,2.0000000000031464
829,notepaper,1.8654367518547805
830,diploma,1.3342418291261717
831,menu,1.8315400534052393
832,passport,1.679363727415024
833,magazine,1.8644835635907342
834,greeting card,1.714921815534919
835,postcard,1.7452754483211232
836,postage stamp,1.8454372612604328
837,book,1.842863171290139
838,debit card,1.1376804043724875
839,carton,1.8738538549094623
840,cardboard,1.8679826540625892
841,corkboard,1.7892504557105349
842,gift wrap,1.813396964183433
843,notepad,1.840815348084517
844,tissue,1.8503555137461423
845,toilet paper,1.86233228106267
846,post-it note,1.8632186063437188
847,visa credit card,1.3839206666016943
848,Wireless Bound Notebook,1.8240196800665842
849,Spiral Notebook,1.8185867189421923
850,Leather-covered notebook,1.798209910270708
851,Stapled Notebook,1.7502072219675509
852,Post-it note,1.8479523422851274
853,ledger,1.6032870250204005
854,carbon paper,1.7869766023065918
855,paper airplane,1.5079422220546315
856,paper takeout box,1.8335160428472932
857,paper bowl,1.8311769923938281
858,paper cup,1.8326501628768856
